#Top: zynq_wrapper   Floorplan: impl_1   Part: xc7z010clg400-1
#Generated by: UUBP   on: Sun Sep 17 23:02:59 2023
#Build: Vivado v2018.2   by: xbuild   on: Thu Jun 14 20:03:12 MDT 2018
#Package Version: FINAL 2012-10-23
#Package Pin Delay Version: VERS. 2.0 2012-10-23

IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,EQUALIZATION,Pull Type,DQS_BIAS,IN_TERM,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage
502,W5,IOPAD_X1Y71,PS_DDR_DQS_P3_502,70.335,71.042,,DDR_0_32035,DDR_0_dqs_p[3],INOUT,,,DIFF_SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,R2,IOPAD_X1Y70,PS_DDR_DQS_P2_502,59.526,60.124,,DDR_0_32035,DDR_0_dqs_p[2],INOUT,,,DIFF_SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,G2,IOPAD_X1Y69,PS_DDR_DQS_P1_502,79.958,80.761,,DDR_0_32035,DDR_0_dqs_p[1],INOUT,,,DIFF_SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,C2,IOPAD_X1Y68,PS_DDR_DQS_P0_502,100.623,101.634,,DDR_0_32035,DDR_0_dqs_p[0],INOUT,,,DIFF_SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,Y1,IOPAD_X1Y31,PS_DDR_DM3_502,90.263,91.171,,DDR_0_32035,DDR_0_dm[3],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,T1,IOPAD_X1Y30,PS_DDR_DM2_502,75.406,76.164,,DDR_0_32035,DDR_0_dm[2],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,F1,IOPAD_X1Y29,PS_DDR_DM1_502,73.274,74.011,,DDR_0_32035,DDR_0_dm[1],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,A1,IOPAD_X1Y28,PS_DDR_DM0_502,96.166,97.133,,DDR_0_32035,DDR_0_dm[0],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,J5,IOPAD_X1Y21,PS_DDR_BA2_502,59.622,60.221,,DDR_0_32035,DDR_0_ba[2],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,R4,IOPAD_X1Y20,PS_DDR_BA1_502,79.187,79.982,,DDR_0_32035,DDR_0_ba[1],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,L5,IOPAD_X1Y19,PS_DDR_BA0_502,30.438,30.744,,DDR_0_32035,DDR_0_ba[0],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,F4,IOPAD_X1Y17,PS_DDR_A14_502,64.291,64.937,,DDR_0_32035,DDR_0_addr[14],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,D4,IOPAD_X1Y18,PS_DDR_A13_502,98.361,99.349,,DDR_0_32035,DDR_0_addr[13],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,E4,IOPAD_X1Y16,PS_DDR_A12_502,96.159,97.125,,DDR_0_32035,DDR_0_addr[12],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
502,G4,IOPAD_X1Y15,PS_DDR_A11_502,60.178,60.783,,DDR_0_32035,DDR_0_addr[11],OUT,,,SSTL15,,SLOW,,,,,,,,,FP_VTT_50,,
